@RELATION 'repositories'
@ATTRIBUTE 'Language'   {JavaScript, Java, Ruby, PHP, Python, CSS, C++, C#, C, HTML}
@ATTRIBUTE 'Commits'   NUMERIC
@ATTRIBUTE 'Branches'   NUMERIC
@ATTRIBUTE 'Watchers'   NUMERIC
@ATTRIBUTE 'Forks'   NUMERIC
@ATTRIBUTE 'Issues'   NUMERIC
@ATTRIBUTE 'Releases'   NUMERIC
@ATTRIBUTE 'Readme'   {Yes, No}
@ATTRIBUTE '<100Contributors'   {Yes, No}
@ATTRIBUTE 'LOC'   NUMERIC
@ATTRIBUTE 'CommitInTheLastMonth'   {Yes, No}
@ATTRIBUTE 'Pull Requests'   NUMERIC
@ATTRIBUTE 'stars'   {<500, 500-2000, 2000-5000, 5000-10000, >10000}

@data
PHP,25343,5,324,2143,267,133,Yes,No,?,No,332,500-2000 %https://github.com/joomla/joomla-cms
PHP,586,5,101,381,84,70,Yes,Yes,?,Yes,1,500-2000 %https://github.com/Maatwebsite/Laravel-Excel
PHP,40,1,287,150,1,0,Yes,Yes,?,No,1,500-2000 %https://github.com/phptodayorg/php-must-watch
PHP,1002,11,244,450,128,2,Yes,Yes,?,No,6,2000-5000 %https://github.com/twostairs/paperwork
PHP,1490,2,278,851,35,32,Yes,No,?,No,10,2000-5000 %https://github.com/Seldaek/monolog
PHP,601,4,920,1930,4,0,Yes,Yes,?,Yes,4,5000-10000 %https://github.com/domnikl/DesignPatternsPHP
PHP,1625,5,432,1252,14,6,Yes,No,?,Yes,33,5000-10000 %https://github.com/fzaninotto/Faker
PHP,4804,5,3097,7517,0,63,Yes,No,?,Yes,0,>10000 %https://github.com/laravel/laravel
PHP,25926,11,1068,4788,572,164,Yes,No,?,Yes,155,>10000 %https://github.com/symfony/symfony
Python,229,2,48,97,38,33,Yes,Yes,?,No,0,<500 %https://github.com/sametmax/0bin
Python,2133,17,45,53,1,1,Yes,Yes,?,No,0,<500 %https://github.com/guardian/alerta
Python,998,2,168,539,79,1,Yes,Yes,?,No,23,500-2000 %https://github.com/Lasagne/Lasagne
Python,812,7,179,216,48,32,Yes,Yes,?,No,48,500-2000 %https://github.com/spinnaker/spinnaker
Python,338,3,18,63,182,25,Yes,Yes,?,No,0,500-2000 %https://github.com/kennethreitz/clint
